Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
53765783,000000A8,false,Rx,0,8,76,69,01,60,01,F0,0F,02,
53767728,000000A9,false,Rx,0,8,16,19,D4,2F,3E,D4,2F,0D,
53768824,000001A6,false,Rx,1,8,6E,14,FD,14,18,15,E0,FA,
53769084,000000CE,false,Rx,1,8,B4,00,B0,00,B2,00,B0,00,
53769346,000001A0,false,Rx,1,8,6E,B0,00,00,80,00,58,99,
53769836,000000AA,false,Rx,0,8,DE,29,02,12,50,12,94,00,
53774001,000001B6,false,Rx,0,8,FF,FF,00,00,10,A8,15,00,
53774147,000003EF,false,Rx,0,2,05,42,00,00,00,00,00,00,
53775792,000000A8,false,Rx,0,8,77,6A,01,60,01,F0,0F,02,
53777102,000001B4,false,Rx,1,8,80,D0,E6,F6,0F,FF,80,74,
53777736,000000A9,false,Rx,0,8,17,1A,D4,2F,3E,D4,2F,0D,
53778753,000000B6,false,Rx,1,5,05,05,80,00,C8,00,00,00,
53779012,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
53779736,000000AA,false,Rx,0,8,DF,2A,02,12,50,12,94,00,
53781100,000003B0,false,Rx,1,2,FD,FF,00,00,00,00,00,00,
53781914,0000021A,false,Rx,1,3,00,00,FF,00,00,00,00,00,
53782384,000004B0,false,Rx,1,8,00,42,FD,FF,FF,FF,FF,FF,
53785779,000000A8,false,Rx,0,8,58,5B,01,50,01,F0,0F,02,
53787723,000000A9,false,Rx,0,8,18,1B,D4,2F,3E,D4,2F,0D,
53788839,000001A0,false,Rx,1,8,6F,B0,0F,00,80,00,68,B9,
53789099,000000CE,false,Rx,1,8,B2,00,B0,00,B1,00,B1,00,
53789743,000000AA,false,Rx,0,8,EC,2B,02,12,5C,12,94,00,
53795782,000000A8,false,Rx,0,8,59,5C,01,50,01,F0,0F,02,
53797727,000000A9,false,Rx,0,8,19,1C,D4,2F,3E,D4,2F,0D,
53798762,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
53799011,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
53799725,000000AA,false,Rx,0,8,F1,2C,02,12,60,12,94,00,
53805767,000000A8,false,Rx,0,8,5A,5D,01,50,01,F0,0F,02,
53806782,00000330,false,Rx,1,8,10,32,02,07,0E,00,DD,07,
53807709,000000A9,false,Rx,0,8,1A,1D,D4,2F,3E,D4,2F,0D,
53808838,000001A0,false,Rx,1,8,6E,B0,E1,0F,80,00,78,AA,
53809088,000000CE,false,Rx,1,8,B1,00,B1,00,B2,00,AE,00,
53809721,000000AA,false,Rx,0,8,EA,2D,02,12,58,12,94,00,
53815844,000000A8,false,Rx,0,8,9B,7E,01,70,01,F0,0F,02,
53817255,00000130,false,Rx,1,5,45,41,21,8F,CD,00,00,00,
53817705,000000A9,false,Rx,0,8,1B,1E,D4,2F,3E,D4,2F,0D,
53818773,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
53819022,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
53819736,000000AA,false,Rx,0,8,EB,2E,02,12,58,12,94,00,
53825768,000000A8,false,Rx,0,8,AD,80,01,80,01,F0,0F,02,
53827702,000000A9,false,Rx,0,8,0D,10,D4,2F,3E,D4,2F,0D,
53827958,000001D0,false,Rx,0,8,62,FF,6A,D2,B1,97,CC,A4,
53828786,000001A0,false,Rx,1,8,6D,B0,E9,0F,80,00,88,C1,
53829036,000000CE,false,Rx,1,8,B4,00,B2,00,B2,00,AD,00,
53829710,000000AA,false,Rx,0,8,D9,20,02,12,54,12,94,00,
53835765,000000A8,false,Rx,0,8,8E,71,01,70,01,F0,0F,02,
53837701,000000A9,false,Rx,0,8,0E,11,D4,2F,3E,D4,2F,0D,
53838737,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
53838986,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
53839700,000000AA,false,Rx,0,8,E6,21,02,12,60,12,94,00,
53845752,000000A8,false,Rx,0,8,7F,72,01,60,01,F0,0F,02,
53846204,00000202,false,Rx,1,2,FE,FF,00,00,00,00,00,00,
53847693,000000A9,false,Rx,0,8,0F,12,D4,2F,3E,D4,2F,0D,
53848790,000001A0,false,Rx,1,8,6D,B0,3E,00,80,00,98,17,
53849038,000000CE,false,Rx,1,8,B4,00,AF,00,B1,00,AB,00,
53849703,000000AA,false,Rx,0,8,F0,22,02,13,68,12,94,00,
53854141,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,13,00,
53855761,000000A8,false,Rx,0,8,B0,63,01,A0,01,F0,0F,02,
53857806,000000A9,false,Rx,0,8,10,13,D4,2F,3E,D4,2F,0D,
53858711,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
53858960,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
53859694,000000AA,false,Rx,0,8,2D,63,02,12,64,12,94,00,
53862117,00000194,false,Rx,1,4,FB,FB,FF,FF,00,00,00,00,
53865744,000000A8,false,Rx,0,8,F1,A4,01,A0,01,F0,0F,02,
53867679,000000A9,false,Rx,0,8,11,14,D4,2F,3E,D4,2F,0D,
53868765,000001A6,false,Rx,1,8,7C,14,0B,15,26,15,70,FC,
53869014,00000480,false,Rx,1,8,02,42,FD,01,FF,FF,FF,FF,
53869235,000000CE,false,Rx,1,8,B2,00,B0,00,B2,00,AF,00,
53869487,000001A0,false,Rx,1,8,6E,B0,F9,0F,80,00,A8,F2,
53869764,000000AA,false,Rx,0,8,2E,64,02,12,64,12,94,00,
53875664,000001B5,false,Rx,1,7,00,FF,FF,CF,F8,FF,00,00,
53875752,000000A8,false,Rx,0,8,A2,95,01,60,01,F0,0F,02,
53876846,000001B4,false,Rx,1,8,80,D0,E6,F7,0F,FF,80,75,
53877691,000000A9,false,Rx,0,8,12,15,D4,2F,3E,D4,2F,0D,
53877941,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
53878709,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
53878958,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53879693,000000AA,false,Rx,0,8,07,35,02,12,6C,12,94,00,
53885729,000000A8,false,Rx,0,8,73,66,01,60,01,F0,0F,02,
53887674,000000A9,false,Rx,0,8,13,16,D4,2F,3E,D4,2F,0D,
53888750,000001A0,false,Rx,1,8,6E,B0,E1,0F,80,00,B8,EA,
53889000,000000CE,false,Rx,1,8,B2,00,B0,00,B2,00,AE,00,
53889694,000000AA,false,Rx,0,8,13,36,02,11,78,12,94,00,
53895826,000000A8,false,Rx,0,8,44,67,01,30,01,F0,0F,02,
53897670,000000A9,false,Rx,0,8,14,17,D4,2F,3E,D4,2F,0D,
53898697,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
53898946,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53899680,000000AA,false,Rx,0,8,DF,F7,01,11,84,12,94,00,
53902624,000001FB,false,Rx,1,2,F6,FF,00,00,00,00,00,00,
53905731,000000A8,false,Rx,0,8,15,38,01,30,01,F0,0F,02,
53907665,000000A9,false,Rx,0,8,15,18,D4,2F,3E,D4,2F,0D,
53908742,000001A0,false,Rx,1,8,6D,B0,0F,00,80,00,C8,18,
53908991,000000CE,false,Rx,1,8,B4,00,B0,00,B1,00,AE,00,
53909675,000000AA,false,Rx,0,8,D4,F8,01,11,78,12,94,00,
53915739,000000A8,false,Rx,0,8,76,69,01,60,01,F0,0F,02,
53917220,00000130,false,Rx,1,5,45,41,21,8F,DE,00,00,00,
53917670,000000A9,false,Rx,0,8,16,19,D4,2F,3E,D4,2F,0D,
53918728,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
53918988,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53919783,000000AA,false,Rx,0,8,D5,F9,01,11,78,12,94,00,
53925723,000000A8,false,Rx,0,8,B7,8A,01,80,01,F0,0F,02,
53927657,000000A9,false,Rx,0,8,17,1A,D4,2F,3E,D4,2F,0D,
53927893,000001D0,false,Rx,0,8,62,FF,6B,D2,C7,97,CC,A4,
53928741,000001A0,false,Rx,1,8,6D,B0,17,00,80,00,D8,30,
53929003,000000CE,false,Rx,1,8,B4,00,B0,00,B0,00,AE,00,
53929675,000000AA,false,Rx,0,8,CE,FA,01,11,70,12,94,00,
53935719,000000A8,false,Rx,0,8,A8,7B,01,80,01,F0,0F,02,
53937653,000000A9,false,Rx,0,8,18,1B,D4,2F,3E,D4,2F,0D,
53938659,000000B6,false,Rx,1,5,0D,0D,80,00,C8,00,00,00,
53938918,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53939662,000000AA,false,Rx,0,8,D7,FB,01,11,78,12,94,00,
53945704,000000A8,false,Rx,0,8,A9,7C,01,80,01,F0,0F,02,
53947669,000000A9,false,Rx,0,8,19,1C,D4,2F,3E,D4,2F,0D,
53948725,000001A0,false,Rx,1,8,6D,B0,F9,0F,80,00,E8,32,
53948976,000000CE,false,Rx,1,8,B3,00,AE,00,B0,00,AC,00,
53949668,000000AA,false,Rx,0,8,DB,FC,01,10,7C,12,94,00,
53955720,000000A8,false,Rx,0,8,3A,8D,01,00,01,F0,0F,02,
53955863,00000482,false,Rx,1,8,12,42,FE,01,FF,FF,FF,FF,
53957661,000000A9,false,Rx,0,8,1A,1D,D4,2F,3E,D4,2F,0D,
53958658,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
53958917,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53959663,000000AA,false,Rx,0,8,68,8D,01,10,78,12,94,00,
53965695,000000A8,false,Rx,0,8,5B,5E,01,50,01,F0,0F,02,
53967630,000000A9,false,Rx,0,8,1B,1E,D4,2F,3E,D4,2F,0D,
53968697,000001A6,false,Rx,1,8,8A,14,19,15,34,15,00,FE,
53968948,000000CE,false,Rx,1,8,B3,00,AE,00,B1,00,B0,00,
53969199,000001A0,false,Rx,1,8,6E,B0,E1,0F,80,00,08,3A,
53969690,000000AA,false,Rx,0,8,6A,8E,01,11,78,12,94,00,
53974057,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,15,00,
53975708,000000A8,false,Rx,0,8,7D,60,01,70,01,F0,0F,02,
53977199,000001B4,false,Rx,1,8,80,D0,E6,F8,0F,FF,80,76,
53977690,000000A9,false,Rx,0,8,0D,10,D4,2F,3E,D4,2F,0D,
53978658,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
53978908,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53979651,000000AA,false,Rx,0,8,8F,B0,01,10,7C,12,94,00,
53985691,000000A8,false,Rx,0,8,4E,51,01,50,01,F0,0F,02,
53987625,000000A9,false,Rx,0,8,0E,11,D4,2F,3E,D4,2F,0D,
53988701,000001A0,false,Rx,1,8,6D,B0,0F,00,80,00,18,67,
53988952,000000CE,false,Rx,1,8,B4,00,AE,00,B1,00,AD,00,
53989646,000000AA,false,Rx,0,8,9D,B1,01,11,88,12,94,00,
53995801,000000A8,false,Rx,0,8,4F,52,01,50,01,F0,0F,02,
53997623,000000A9,false,Rx,0,8,0F,12,D4,2F,3E,D4,2F,0D,
53998629,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
53998889,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
53999633,000000AA,false,Rx,0,8,A2,B2,01,11,8C,12,94,00,
54005682,000000A8,false,Rx,0,8,50,53,01,50,01,F0,0F,02,
54006830,00000330,false,Rx,1,8,10,32,02,07,0B,00,DD,07,
54007625,000000A9,false,Rx,0,8,10,13,D4,2F,3E,D4,2F,0D,
54008703,000001A0,false,Rx,1,8,6D,B0,27,00,80,00,28,8F,
54008954,000000CE,false,Rx,1,8,B5,00,AE,00,AF,00,AE,00,
54009739,000000AA,false,Rx,0,8,A3,B3,01,11,8C,12,94,00,
54015689,000000A8,false,Rx,0,8,B1,84,01,80,01,F0,0F,02,
54017263,00000130,false,Rx,1,5,45,41,21,8F,E0,00,00,00,
54017693,000000A9,false,Rx,0,8,11,14,D4,2F,3E,D4,2F,0D,
54018639,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
54018900,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
54019624,000000AA,false,Rx,0,8,98,B4,01,11,80,12,94,00,
54025684,000000A8,false,Rx,0,8,D2,95,01,90,01,F0,0F,02,
54027609,000000A9,false,Rx,0,8,12,15,D4,2F,3E,D4,2F,0D,
54027986,000001D0,false,Rx,0,8,62,FF,6B,D2,DC,97,CC,A4,
54028694,000001A0,false,Rx,1,8,6D,B0,00,00,80,00,38,78,
54028955,000000CE,false,Rx,1,8,B2,00,AF,00,B0,00,AF,00,
54029639,000000AA,false,Rx,0,8,94,B5,01,10,7C,12,94,00,
54035674,000000A8,false,Rx,0,8,D3,96,01,90,01,F0,0F,02,
54037608,000000A9,false,Rx,0,8,13,16,D4,2F,3E,D4,2F,0D,
54038604,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
54038864,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
54039618,000000AA,false,Rx,0,8,6E,86,01,11,84,12,94,00,
54045659,000000A8,false,Rx,0,8,74,67,01,60,01,F0,0F,02,
54047623,000000A9,false,Rx,0,8,14,17,D4,2F,3E,D4,2F,0D,
54048649,000001A0,false,Rx,1,8,6D,B0,E1,0F,80,00,48,79,
54048900,000000CE,false,Rx,1,8,B2,00,AF,00,B0,00,AD,00,
54049614,000000AA,false,Rx,0,8,73,87,01,11,88,12,94,00,
54051107,00000492,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
54054763,000001B6,false,Rx,0,8,FF,FF,00,00,0E,A8,10,00,
54054917,00000308,false,Rx,0,3,57,D6,F2,00,00,00,00,00,
54055675,000000A8,false,Rx,0,8,95,58,01,90,01,F0,0F,02,
54057601,000000A9,false,Rx,0,8,15,18,D4,2F,3E,D4,2F,0D,
54058630,000000B6,false,Rx,1,5,04,04,80,00,C8,00,00,00,
54058878,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
54059602,000000AA,false,Rx,0,8,A4,B8,01,11,88,12,94,00,
54062115,00000194,false,Rx,1,4,FC,FC,FF,FF,00,00,00,00,
54065656,000000A8,false,Rx,0,8,C6,89,01,90,01,F0,0F,02,
54067590,000000A9,false,Rx,0,8,16,19,D4,2F,3E,D4,2F,0D,
54068646,000001A6,false,Rx,1,8,98,14,27,15,41,15,90,FF,
54068897,000000CE,false,Rx,1,8,B3,00,AE,00,AF,00,AC,00,
54069148,000001A0,false,Rx,1,8,6C,B0,E1,0F,80,00,58,88,
54069629,000000AA,false,Rx,0,8,A1,B9,01,11,84,12,94,00,
54075664,000000A8,false,Rx,0,8,D7,9A,01,90,01,F0,0F,02,
54076649,000001B4,false,Rx,1,8,80,D0,E6,F9,0F,FF,80,77,
54077595,000000A9,false,Rx,0,8,17,1A,D4,2F,3E,D4,2F,0D,
54077843,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
54078580,000000B6,false,Rx,1,5,05,05,80,00,C8,00,00,00,
54078841,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54079595,000000AA,false,Rx,0,8,A2,BA,01,11,84,12,94,00,
54085750,000000A8,false,Rx,0,8,D8,9B,01,90,01,F0,0F,02,
54087582,000000A9,false,Rx,0,8,18,1B,D4,2F,3E,D4,2F,0D,
54088628,000001A0,false,Rx,1,8,6D,B0,1F,00,80,00,68,C7,
54088889,000000CE,false,Rx,1,8,B4,00,B0,00,B1,00,AD,00,
54089593,000000AA,false,Rx,0,8,AB,BB,01,11,8C,12,94,00,
54094316,000002F1,false,Rx,1,3,E5,F4,FC,00,00,00,00,00,
54095660,000000A8,false,Rx,0,8,B9,8C,01,80,01,F0,0F,02,
54097593,000000A9,false,Rx,0,8,19,1C,D4,2F,3E,D4,2F,0D,
54098568,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
54098829,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54099593,000000AA,false,Rx,0,8,B0,BC,01,11,90,12,94,00,
54102491,000001FB,false,Rx,1,2,F7,FF,00,00,00,00,00,00,
54105641,000000A8,false,Rx,0,8,BA,8D,01,80,01,F0,0F,02,
54107574,000000A9,false,Rx,0,8,1A,1D,D4,2F,3E,D4,2F,0D,
54108620,000001A0,false,Rx,1,8,6D,B0,0F,00,80,00,78,C7,
54108871,000000CE,false,Rx,1,8,B3,00,B0,00,B2,00,AA,00,
54109595,000000AA,false,Rx,0,8,B1,BD,01,11,90,12,94,00,
54115648,000000A8,false,Rx,0,8,1C,BE,01,B0,01,F0,0F,02,
54117200,00000130,false,Rx,1,5,45,41,21,8F,F1,00,00,00,
54117628,000000A9,false,Rx,0,8,1B,1E,D4,2F,3E,D4,2F,0D,
54118585,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
54118846,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54119590,000000AA,false,Rx,0,8,A2,BE,01,11,80,12,94,00,
54125652,000000A8,false,Rx,0,8,4E,D0,01,D0,01,F0,0F,02,
54127565,000000A9,false,Rx,0,8,0D,10,D4,2F,3E,D4,2F,0D,
54127831,000001D0,false,Rx,0,8,62,FF,6C,D2,F3,97,CC,A4,
54128608,000001A0,false,Rx,1,8,6D,B0,F9,0F,80,00,88,D1,
54128859,000000CE,false,Rx,1,8,B3,00,AF,00,B3,00,AC,00,
54129586,000000AA,false,Rx,0,8,84,B0,01,11,70,12,94,00,
54132785,000001B6,false,Rx,0,8,FF,FF,00,00,0E,A8,15,00,
54135623,000000A8,false,Rx,0,8,5F,D1,01,E0,01,F0,0F,02,
54137556,000000A9,false,Rx,0,8,0E,11,D4,2F,3E,D4,2F,0D,
54138562,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
54138812,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54139566,000000AA,false,Rx,0,8,89,B1,01,11,74,12,94,00,
54145618,000000A8,false,Rx,0,8,50,D2,01,D0,01,F0,0F,02,
54147662,000000A9,false,Rx,0,8,0F,12,D4,2F,3E,D4,2F,0D,
54148597,000001A0,false,Rx,1,8,6C,B0,07,00,80,00,98,DE,
54148858,000004A9,false,Rx,1,8,30,42,FF,FF,FF,FF,FF,FF,
54149118,000000CE,false,Rx,1,8,B4,00,AD,00,B0,00,AB,00,
54149610,000000AA,false,Rx,0,8,82,B2,01,11,6C,12,94,00,
54155634,000000A8,false,Rx,0,8,61,D3,01,E0,01,F0,0F,02,
54157567,000000A9,false,Rx,0,8,FF,13,D4,2F,3E,D4,1F,0D,
54158532,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
54158792,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54159567,000000AA,false,Rx,0,8,83,B3,01,11,6C,12,94,00,
54165608,000000A8,false,Rx,0,8,B2,04,02,00,02,F0,0F,02,
54167551,000000A9,false,Rx,0,8,00,14,D4,2F,3E,D4,1F,0D,
54168576,000001A6,false,Rx,1,8,A6,14,35,15,4F,15,20,F1,
54168827,000000CE,false,Rx,1,8,B5,00,AC,00,B4,00,AD,00,
54169087,000001A0,false,Rx,1,8,6E,B0,2E,00,80,00,A8,18,
54169579,000000AA,false,Rx,0,8,74,B4,01,11,5C,12,94,00,
54175613,000000A8,false,Rx,0,8,D3,15,02,10,02,F0,0F,02,
54176649,000001B4,false,Rx,1,8,80,D0,E6,FA,0F,FF,80,78,
54177554,000000A9,false,Rx,0,8,01,15,D4,2F,3E,D4,1F,0D,
54178531,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
54178792,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54179556,000000AA,false,Rx,0,8,69,B5,01,11,50,12,94,00,
54185598,000000A8,false,Rx,0,8,D4,16,02,10,02,F0,0F,02,
54187561,000000A9,false,Rx,0,8,03,16,D4,2F,3E,D4,1F,0D,
54188568,000001A0,false,Rx,1,8,6E,B0,0F,00,80,00,B8,09,
54188817,000000CE,false,Rx,1,8,B3,00,AF,00,B3,00,AC,00,
54189552,000000AA,false,Rx,0,8,6A,B6,01,11,50,12,94,00,
54195603,000000A8,false,Rx,0,8,C5,07,02,10,02,F0,0F,02,
54197546,000000A9,false,Rx,0,8,04,17,D4,2F,3E,D4,1F,0D,
54198502,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
54198762,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54199546,000000AA,false,Rx,0,8,7B,C7,01,11,50,12,94,00,
54205587,000000A8,false,Rx,0,8,B6,08,02,00,02,F0,0F,02,
54206794,00000330,false,Rx,1,8,10,32,02,07,09,00,DD,07,
54207539,000000A9,false,Rx,0,8,05,18,D4,2F,3E,D4,1F,0D,
54208578,000001A0,false,Rx,1,8,6E,B0,E1,0F,80,00,C8,FA,
54208827,000000CE,false,Rx,1,8,B3,00,B0,00,B4,00,AC,00,
54209552,000000AA,false,Rx,0,8,7C,C8,01,11,50,12,94,00,
54212849,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,13,00,
54213013,000002F3,false,Rx,0,3,00,FC,F2,00,00,00,00,00,
54215596,000000A8,false,Rx,0,8,F7,29,02,20,02,F0,0F,02,
54217260,00000130,false,Rx,1,5,45,41,21,8F,02,00,00,00,
54217699,000000A9,false,Rx,0,8,06,19,D4,2F,3E,D4,1F,0D,
54218528,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
54218787,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54219533,000000AA,false,Rx,0,8,6D,C9,01,11,40,12,94,00,
54225593,000000A8,false,Rx,0,8,F8,2A,02,20,02,F0,0F,02,
54227536,000000A9,false,Rx,0,8,07,1A,D4,2F,3E,D4,1F,0D,
54228553,000001A0,false,Rx,1,8,6E,B0,E9,0F,80,00,D8,13,
54228803,000000CE,false,Rx,1,8,B5,00,B0,00,B4,00,AE,00,
54229295,000001D0,false,Rx,0,8,62,FF,6C,D2,0C,98,CC,A4,
54229545,000000AA,false,Rx,0,8,5D,CA,01,10,30,12,94,00,
54235590,000000A8,false,Rx,0,8,F9,4B,02,00,02,F0,0F,02,
54237533,000000A9,false,Rx,0,8,08,1B,D4,2F,3E,D4,1F,0D,
54238479,000000B6,false,Rx,1,5,0D,0D,80,00,C8,00,00,00,
54238728,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54239523,000000AA,false,Rx,0,8,27,8B,01,11,38,12,94,00,
54242467,000004B0,false,Rx,1,8,00,42,FD,FF,FF,FF,FF,FF,
54245577,000000A8,false,Rx,0,8,9A,FC,01,F0,01,F0,0F,02,
54247540,000000A9,false,Rx,0,8,09,1C,D4,2F,3E,D4,1F,0D,
54248557,000001A0,false,Rx,1,8,6F,B0,36,00,80,00,E8,61,
54248807,000000CE,false,Rx,1,8,B5,00,AE,00,B4,00,AF,00,
54249531,000000AA,false,Rx,0,8,28,8C,01,11,38,12,94,00,
54255583,000000A8,false,Rx,0,8,BB,0D,02,00,02,F0,0F,02,
54257516,000000A9,false,Rx,0,8,1A,1D,D4,2F,3E,D4,2F,0D,
54258473,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
54258732,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
54259516,000000AA,false,Rx,0,8,6C,CD,01,10,3C,12,94,00,
54262113,00000194,false,Rx,1,4,FD,FD,FF,FF,00,00,00,00,
54265568,000000A8,false,Rx,0,8,CC,0E,02,10,02,F0,0F,02,
54267501,000000A9,false,Rx,0,8,1B,1E,D4,2F,3E,D4,2F,0D,
54268518,000001A6,false,Rx,1,8,B4,14,43,15,5D,15,B0,F2,
54268778,000000CE,false,Rx,1,8,B5,00,B0,00,B4,00,B0,00,
54269038,000001A0,false,Rx,1,8,6F,B0,F1,0F,80,00,08,4B,
54269530,000000AA,false,Rx,0,8,65,CE,01,10,34,12,94,00,
54275575,000000A8,false,Rx,0,8,7E,00,02,D0,01,F0,0F,02,
54276691,000001B4,false,Rx,1,8,80,D0,E6,FB,0F,FF,80,79,
54277607,000000A9,false,Rx,0,8,0D,10,D4,2F,3E,D4,2F,0D,
54278474,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
54278723,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
54278936,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
54279514,000000AA,false,Rx,0,8,13,80,01,10,30,12,94,00,
54285557,000000A8,false,Rx,0,8,6F,E1,01,E0,01,F0,0F,02,
54287490,000000A9,false,Rx,0,8,0E,11,D4,2F,3E,D4,2F,0D,
54288507,000001A0,false,Rx,1,8,6E,B0,E9,0F,80,00,18,52,
54288757,000000CE,false,Rx,1,8,B5,00,B0,00,B5,00,AB,00,
54289521,000000AA,false,Rx,0,8,14,81,01,10,30,12,94,00,
54293754,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,13,00,
54295557,000000A8,false,Rx,0,8,50,D2,01,D0,01,F0,0F,02,
54297500,000000A9,false,Rx,0,8,0F,12,D4,2F,3E,D4,2F,0D,
54298457,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
54298716,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
54299500,000000AA,false,Rx,0,8,19,82,01,10,34,12,94,00,
54302565,000001FB,false,Rx,1,2,F8,FF,00,00,00,00,00,00,
54305551,000000A8,false,Rx,0,8,21,B3,01,C0,01,F0,0F,02,
54307484,000000A9,false,Rx,0,8,10,13,D4,2F,3E,D4,2F,0D,
54308490,000001A0,false,Rx,1,8,6E,B0,1F,00,80,00,28,88,
54308750,000000CE,false,Rx,1,8,B6,00,AE,00,B4,00,AE,00,
54309515,000000AA,false,Rx,0,8,1E,83,01,10,38,12,94,00,
54315548,000000A8,false,Rx,0,8,22,B4,01,C0,01,F0,0F,02,
54317170,00000130,false,Rx,1,5,45,41,21,8F,13,00,00,00,
54317600,000000A9,false,Rx,0,8,11,14,D4,2F,3E,D4,2F,0D,
54318466,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
54318715,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
54319500,000000AA,false,Rx,0,8,0F,84,01,10,28,12,94,00,
54325543,000000A8,false,Rx,0,8,63,D5,01,E0,01,F0,0F,02,
54327588,000000A9,false,Rx,0,8,12,15,D4,2F,3E,D4,2F,0D,
54327824,000001D0,false,Rx,0,8,62,FF,6D,D2,26,98,CC,A4,
54328481,000001A0,false,Rx,1,8,6D,B0,0F,00,80,00,38,87,
54328730,000000CE,false,Rx,1,8,B5,00,B0,00,B3,00,AB,00,
54329122,00000480,false,Rx,1,8,02,42,FD,01,FF,FF,FF,FF,
54329624,000000AA,false,Rx,0,8,FF,85,01,10,18,12,94,00,
54335548,000000A8,false,Rx,0,8,A4,F6,01,00,02,F0,0F,02,
54337493,000000A9,false,Rx,0,8,03,16,D4,2F,3E,D4,1F,0D,
54338429,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
54338688,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
54339483,000000AA,false,Rx,0,8,00,86,01,10,18,12,94,00,
54345524,000000A8,false,Rx,0,8,55,D7,01,D0,01,F0,0F,02,
