Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
251381,000000A9,false,Rx,0,8,AD,1A,D8,DF,3D,D8,0F,0C,
251466,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
251939,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
253400,000000AA,false,Rx,0,8,5F,FA,01,00,28,0C,84,00,
253618,000001D0,false,Rx,0,8,5F,FF,6C,D2,B3,53,CD,9B,
259455,000000A8,false,Rx,0,8,8A,EB,01,F0,01,F1,0F,02,
261389,000000A9,false,Rx,0,8,AE,1B,D8,DF,3D,D8,0F,0C,
261521,000001A0,false,Rx,1,8,00,80,00,00,80,00,D8,7B,
261997,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
262156,00000194,false,Rx,1,4,FD,FD,FF,FF,00,00,00,00,
263396,000000AA,false,Rx,0,8,60,FB,01,00,28,0C,84,00,
269430,000000A8,false,Rx,0,8,AB,FC,01,00,02,F1,0F,02,
271404,000000A9,false,Rx,0,8,9F,1C,D8,DF,3D,D8,FF,0B,
271460,000000B6,false,Rx,1,5,0D,0D,80,00,C8,00,00,00,
271933,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
273354,000001B4,false,Rx,1,8,00,D0,E6,FB,0F,FF,82,FA,
273396,000000AA,false,Rx,0,8,59,FC,01,00,20,0C,84,00,
276962,000001B6,false,Rx,0,8,FF,FF,00,00,11,A8,19,00,
279435,000000A8,false,Rx,0,8,BC,0D,02,00,02,F1,0F,02,
281369,000000A9,false,Rx,0,8,C2,1D,D9,EF,3D,D9,0F,0C,
281511,000001A0,false,Rx,1,8,00,80,00,00,80,00,E8,8B,
281986,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
282469,000001FB,false,Rx,1,2,F8,FF,00,00,00,00,00,00,
283393,000000AA,false,Rx,0,8,6A,0D,02,00,20,0C,84,00,
289426,000000A8,false,Rx,0,8,DD,1E,02,10,02,F1,0F,02,
291361,000000A9,false,Rx,0,8,C3,1E,D9,EF,3D,D9,0F,0C,
291436,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
291909,000004A9,false,Rx,1,8,30,42,FF,FF,FF,FF,FF,FF,
292170,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
293389,000000AA,false,Rx,0,8,63,0E,02,00,18,0C,84,00,
299420,000000A8,false,Rx,0,8,CF,10,02,10,02,F1,0F,02,
301354,000000A9,false,Rx,0,8,B5,10,D9,EF,3D,D9,0F,0C,
301486,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,F0,F6,
301590,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
301965,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
302451,000001A0,false,Rx,1,8,00,80,00,00,80,00,08,AA,
303378,000000AA,false,Rx,0,8,65,10,02,00,18,0C,84,00,
